player_id,player_name,season,overall_pick,organization,organization_type,height_wo_shoes,weight,wingspan,bmi,total_pts,total_games_with_points,pts_per_game,total_assists,total_games_with_assists,assists_per_game,total_rebounds,total_games_with_rebounds,rebounds_per_game
77844,Geoff Petrie,1970,8,Princeton,College/University,,,,,,,,,,,,,
77147,George Johnson,1970,9,Stephen F. Austin,College/University,,,,,,,,,,,,,
77066,Greg Howard,1970,10,New Mexico,College/University,,,,,,,,,,,,,
76419,Jimmy Collins,1970,11,New Mexico State,College/University,,,,,,,,,,,,,
77000,Al Henry,1970,12,Wisconsin,College/University,,,,,,,,,,,,,
77554,Jim McMillian,1970,13,Columbia,College/University,,,,,,,,,,,,,
78397,John Vallely,1970,14,California-Los Angeles,College/University,,,,,,,,,,,,,
77080,John Hummer,1970,15,Princeton,College/University,,,,,,,,,,,,,
76755,Gary Freeman,1970,16,Oregon State,College/University,,,,,,,,,,,,,
77884,Mike Price,1970,17,Illinois,College/University,,,,,,,,,,,,,
76348,Austin Carr,1971,1,Notre Dame,College/University,,,,,,,,,,,,,
78520,Sidney Wicks,1971,2,California-Los Angeles,College/University,,,,,,,,,,,,,
78188,Elmore Smith,1971,3,Kentucky State,College/University,,,,,,,,,,,,,
76622,Ken Durrett,1971,4,La Salle,College/University,,,,,,,,,,,,,
78366,George Trapp,1971,5,Long Beach State,College/University,,,,,,,,,,,,,
76272,Fred Brown,1971,6,Iowa,College/University,,,,,,,,,,,,,
77570,Cliff Meely,1971,7,Colorado,College/University,,,,,,,,,,,,,
77028,Darnell Hillman,1971,8,San Jose State,College/University,,,,,,,,,,,,,
77413,Stan Love,1971,9,Oregon,College/University,,,,,,,,,,,,,
76825,Clarence Glover,1971,10,Western Kentucky,College/University,,,,,,,,,,,,,
78028,Curtis Rowe,1971,11,California-Los Angeles,College/University,,,,,,,,,,,,,
81307,Dana Lewis,1971,12,Tulsa,College/University,,,,,,,,,,,,,
76402,Jim Cleamons,1971,13,Ohio State,College/University,,,,,,,,,,,,,
78000,John Roche,1971,14,South Carolina,College/University,,,,,,,,,,,,,
77540,Kenny McIntosh,1971,15,Eastern Michigan,College/University,,,,,,,,,,,,,
77578,Dean Meminger,1971,16,Marquette,College/University,,,,,,,,,,,,,
81370,Collis Jones,1971,17,Notre Dame,College/University,,,,,,,,,,,,,
77475,Larue Martin,1972,1,Loyola-Chicago,College/University,,,,,,,,,,,,,
77498,Bob McAdoo,1972,2,North Carolina,College/University,,,,,,,,,,,,,
76521,Double D Davis,1972,3,Houston,College/University,,,,,,,,,,,,,
76330,Corky Calhoun,1972,4,Pennsylvania,College/University,,,,,,,,,,,,,
76222,Fred Boyd,1972,5,Oregon State,College/University,,,,,,,,,,,,,
77365,Russell Lee,1972,6,Marshall,College/University,,,,,,,,,,,,,
78239,Isaac Stallworth,1972,7,Kansas,College/University,,,,,,,,,,,,,
77960,Tom Riker,1972,8,South Carolina,College/University,,,,,,,,,,,,,
77688,Bob Nash,1972,9,Hawaii,College/University,,,,,,,,,,,,,
78500,Paul Westphal,1972,10,Southern California,College/University,,,,,,,,,,,,,
78157,Ralph Simpson,1972,11,Michigan State,College/University,,,,,,,,,,,,,
76681,Julius Erving,1972,12,Massachusetts,College/University,,,,,,,,,,,,,
76853,Travis Grant,1972,13,Kentucky State,College/University,,,,,,,,,,,,,
76421,Doug Collins,1973,1,Illinois State,College/University,,,,,,,,,,,,,
76248,Jim Brewer,1973,2,Minnesota,College/University,,,,,,,,,,,,,
76568,Ernie DiGregorio,1973,3,Providence,College/University,,,,,,,,,,,,,
76873,Mike Green,1973,4,Louisiana Tech,College/University,,,,,,,,,,,,,
78467,Kermit Washington,1973,5,American,College/University,,,,,,,,,,,,,
77914,Ed Ratleff,1973,6,Long Beach State,College/University,,,,,,,,,,,,,
76140,Ron Behagen,1973,7,Minnesota,College/University,,,,,,,,,,,,,
76095,Mike Bantom,1973,8,Saint Joseph's,College/University,,,,,,,,,,,,,
77182,Dwight Jones,1973,9,Houston,College/University,,,,,,,,,,,,,
76276,John Brown,1973,10,Missouri,College/University,,,,,,,,,,,,,
81593,Kevin Joyce,1973,11,South Carolina,College/University,,,,,,,,,,,,,
77323,Kevin Kunnert,1973,12,Iowa,College/University,,,,,,,,,,,,,
78475,Nick Weatherspoon,1973,13,Illinois,College/University,,,,,,,,,,,,,
76529,Mel Davis,1973,14,St. John's (NY),College/University,,,,,,,,,,,,,
81718,Barry Parkhill,1973,15,Virginia,College/University,,,,,,,,,,,,,
77689,Swen Nater,1973,16,California-Los Angeles,College/University,,,,,,,,,,,,,
76594,Steve Downing,1973,17,Indiana,College/University,,,,,,,,,,,,,
81622,Raymond Lewis,1973,18,Cal State-Los Angeles,College/University,,,,,,,,,,,,,
78450,Bill Walton,1974,1,California-Los Angeles,College/University,,,,,,,,,,,,,
76104,Marvin Barnes,1974,2,Providence,College/University,,,,,,,,,,,,,
